name,species,pop,year,time,id
EA_2009_T1,eurytemora,canal,2009,1,2009_1
EA_2009_T2,eurytemora,canal,2009,2,2009_2
EA_2009_T3,eurytemora,canal,2009,3,2009_3
EA_2009_T4,eurytemora,canal,2009,4,2009_4
EA_2011_T1,eurytemora,canal,2011,1,2011_1
EA_2011_T2,eurytemora,canal,2011,2,2011_2
EA_2011_T3,eurytemora,canal,2011,3,2011_3
EA_2015_T1,eurytemora,canal,2015,1,2015_1
EA_2015_T2,eurytemora,canal,2015,2,2015_2
EA_2015_T3,eurytemora,canal,2015,3,2015_3
EA_2015_T4,eurytemora,canal,2015,4,2015_4
EA_2022_T1,eurytemora,canal,2022,1,2022_1
EA_2022_T2,eurytemora,canal,2022,2,2022_2
EA_2022_T3,eurytemora,canal,2022,3,2022_3
EA_2022_T4,eurytemora,canal,2022,4,2022_4
